Epoch;Iterations;Time [s];Data;G_GAN;G_L1;D_real;D_fake
4;2416;0.004;0.006;0.289;3.776;0.220;0.252
4;2816;0.004;0.006;0.300;3.796;0.270;0.141
4;3216;0.006;0.007;0.301;3.421;0.275;0.209
4;3616;0.003;0.067;0.277;3.134;0.292;0.170
4;4016;0.003;0.007;0.331;3.534;0.211;0.210
4;4416;0.003;0.006;0.500;3.610;0.111;0.321
4;4816;0.004;0.010;0.392;4.011;0.177;0.244
4;5216;0.006;0.073;0.407;3.531;0.173;0.256
4;5616;0.004;0.006;0.384;3.554;0.206;0.215
4;6016;0.004;0.006;0.276;3.633;0.261;0.167
4;6416;0.004;0.009;0.342;3.355;0.171;0.223
4;6816;0.003;0.051;0.549;4.344;0.158;0.278
4;7216;0.006;0.014;0.494;3.415;0.130;0.306
4;7616;0.003;0.007;0.428;4.378;0.195;0.179
4;8016;0.003;0.010;0.325;4.009;0.264;0.258
4;8416;0.003;0.012;0.300;3.668;0.250;0.119
4;8816;0.004;0.007;0.288;3.451;0.328;0.134
4;9216;0.005;0.075;0.321;3.744;0.292;0.146
4;9616;0.004;0.005;0.325;3.815;0.260;0.191
4;10016;0.004;0.006;0.288;3.724;0.386;0.142
4;10416;0.003;0.011;0.388;3.340;0.218;0.179
4;10816;0.003;0.088;0.394;3.426;0.125;0.282
4;11216;0.005;0.027;0.329;3.507;0.332;0.126
4;11616;0.003;0.005;0.336;3.802;0.254;0.225
4;12016;0.003;0.006;0.465;3.136;0.114;0.231
4;12416;0.003;0.069;0.285;4.017;0.250;0.200
4;12816;0.003;0.037;0.324;3.148;0.258;0.163
4;13216;0.006;0.005;0.393;4.320;0.170;0.270
4;13616;0.003;0.012;0.336;3.285;0.181;0.269
4;14016;0.004;0.069;0.403;3.414;0.162;0.225
4;14416;0.003;0.013;0.299;3.157;0.213;0.262
4;14816;0.004;0.009;0.263;3.514;0.268;0.178
4;15216;0.006;0.006;0.340;3.374;0.248;0.159
4;15616;0.003;0.010;0.250;3.618;0.205;0.182
4;16016;0.003;0.073;0.229;3.870;0.360;0.134
4;16416;0.003;0.024;0.382;3.413;0.216;0.181
4;16816;0.004;0.006;0.241;3.607;0.257;0.163
4;17216;0.006;0.011;0.336;3.332;0.154;0.225
4;17616;0.003;0.006;0.348;3.571;0.209;0.144
4;18016;0.003;0.030;0.255;4.186;0.401;0.063
4;18416;0.004;0.009;0.363;4.705;0.285;0.194
4;18816;0.004;0.006;0.518;3.487;0.144;0.324
4;19216;0.006;0.009;0.330;3.254;0.174;0.214
4;19616;0.003;0.057;0.400;4.453;0.170;0.220
4;20016;0.004;0.006;0.394;3.363;0.154;0.270
4;20416;0.004;0.010;0.441;3.147;0.128;0.315
4;20816;0.004;0.006;0.233;3.040;0.499;0.057
4;21216;0.006;0.055;0.372;3.182;0.152;0.316
4;21616;0.003;0.008;0.402;4.768;0.121;0.301
4;22016;0.003;0.006;0.267;3.990;0.271;0.181
4;22416;0.004;0.007;0.431;3.690;0.144;0.239
4;22816;0.003;0.060;0.406;3.133;0.137;0.300
4;23216;0.005;0.010;0.276;3.234;0.245;0.196
4;23616;0.004;0.009;0.419;3.259;0.224;0.121
4;24016;0.003;0.007;0.485;3.905;0.148;0.266
4;24416;0.003;0.089;0.269;3.228;0.191;0.180
4;24816;0.004;0.006;0.262;2.934;0.298;0.189
4;25216;0.006;0.006;0.155;3.368;0.336;0.142
4;25616;0.004;0.006;0.416;4.147;0.183;0.228
4;26016;0.003;0.053;0.319;3.731;0.214;0.236
4;26416;0.004;0.006;0.464;4.268;0.182;0.212
4;26816;0.003;0.007;0.299;4.094;0.169;0.197
4;27216;0.005;0.007;0.216;3.643;0.232;0.154
4;27616;0.003;0.008;0.272;3.621;0.222;0.191
4;28016;0.003;0.009;0.339;3.441;0.209;0.202
4;28416;0.003;0.059;0.360;2.866;0.177;0.187
4;28816;0.003;0.006;0.356;3.650;0.215;0.191
4;29216;0.006;0.055;0.309;3.250;0.199;0.134
4;29616;0.004;0.010;0.444;4.307;0.138;0.266
4;30016;0.003;0.011;0.350;3.349;0.166;0.292
4;30416;0.004;0.007;0.263;3.199;0.299;0.187
4;30816;0.003;0.009;0.389;3.962;0.168;0.205
5;288;0.006;0.006;0.298;3.736;0.155;0.210
5;688;0.003;0.009;0.497;3.680;0.129;0.352
5;1088;0.004;0.009;0.289;3.706;0.231;0.159
5;1488;0.003;0.094;0.327;3.553;0.381;0.079
5;1888;0.004;0.007;0.359;3.047;0.253;0.181
5;2288;0.006;0.006;0.297;2.765;0.236;0.223
5;2688;0.004;0.006;0.375;3.533;0.235;0.224
5;3088;0.003;0.078;0.471;3.812;0.146;0.219
5;3488;0.004;0.006;0.191;3.373;0.381;0.173
5;3888;0.004;0.008;0.486;3.693;0.122;0.262
5;4288;0.006;0.006;0.372;3.227;0.158;0.226
5;4688;0.003;0.044;0.363;3.255;0.156;0.178
5;5088;0.003;0.011;0.259;2.941;0.293;0.129
5;5488;0.003;0.007;0.342;3.432;0.201;0.171
5;5888;0.003;0.008;0.349;3.292;0.242;0.230
5;6288;0.005;0.010;0.344;3.008;0.163;0.292
5;6688;0.003;0.008;0.396;3.129;0.167;0.298
5;7088;0.003;0.008;0.360;3.185;0.198;0.261
5;7488;0.004;0.033;0.363;3.192;0.232;0.213
5;7888;0.003;0.008;0.427;3.582;0.105;0.308
5;8288;0.006;0.009;0.226;3.222;0.276;0.131
5;8688;0.003;0.048;0.305;3.348;0.269;0.291
5;9088;0.004;0.007;0.425;3.316;0.144;0.275
5;9488;0.003;0.085;0.388;3.000;0.230;0.198
5;9888;0.003;0.007;0.379;3.204;0.146;0.229
5;10288;0.006;0.010;0.567;3.895;0.154;0.312
5;10688;0.004;0.006;0.393;3.366;0.182;0.220
5;11088;0.003;0.107;0.262;3.404;0.269;0.134
5;11488;0.004;0.007;0.391;2.849;0.142;0.310
5;11888;0.003;0.008;0.475;4.569;0.132;0.221
5;12288;0.006;0.009;0.349;3.156;0.222;0.175
5;12688;0.003;0.040;0.296;3.206;0.309;0.137
5;13088;0.003;0.006;0.362;3.219;0.242;0.210
5;13488;0.004;0.048;0.328;4.136;0.222;0.195
5;13888;0.004;0.006;0.413;3.529;0.150;0.276
5;14288;0.005;0.097;0.422;3.788;0.228;0.245
5;14688;0.004;0.006;0.262;3.603;0.194;0.287
5;15088;0.003;0.011;0.355;3.480;0.191;0.190
5;15488;0.004;0.006;0.251;2.694;0.267;0.252
5;15888;0.003;0.009;0.771;3.722;0.081;0.457
5;16288;0.005;0.016;0.316;3.438;0.263;0.135
5;16688;0.003;0.006;0.334;2.701;0.181;0.229
5;17088;0.004;0.005;0.385;3.822;0.185;0.181
5;17488;0.003;0.013;0.325;2.687;0.194;0.198
5;17888;0.004;0.006;0.282;3.367;0.267;0.227
5;18288;0.005;0.076;0.265;3.041;0.273;0.170
5;18688;0.004;0.006;0.268;3.702;0.476;0.071
